Image Name,Total Words,Recognized Words,Word Recognition Rate,,Bengali,Recognized Ben,,English,Recognized Eng,,Hindi,Recognized Hindi,,Assamesse,Recognized Asm,,Kokbarok,Recognized kokb,,Sanskrit,recognized Sans
img1,40,40,1,,40,40,,0,0,,0,0,,0,0,,0,0,,0,0
img2,23,20,0.869565217,,6,3,,17,16,,0,0,,0,0,,0,0,,0,0
img3,22,21,0.954545455,,11,10,,11,11,,0,0,,0,0,,0,0,,0,0
img4,18,15,0.833333333,,8,7,,10,8,,0,0,,0,0,,0,0,,0,0
img5,17,9,0.529411765,,2,1,,15,8,,0,0,,0,0,,0,0,,0,0
img6,31,26,0.838709677,,22,18,,9,8,,0,0,,0,0,,0,0,,0,0
img7,69,48,0.695652174,,9,2,,59,45,,1,1,,0,0,,0,0,,0,0
img8,67,63,0.940298507,,37,35,,30,28,,0,0,,0,0,,0,0,,0,0
img9,10,10,1,,5,5,,5,5,,0,0,,0,0,,0,0,,0,0
img10,31,28,0.903225806,,9,7,,22,21,,0,0,,0,0,,0,0,,0,0
img11,9,8,0.888888889,,5,5,,4,3,,0,0,,0,0,,0,0,,0,0
img12,4,1,0.25,,2,0,,2,1,,0,0,,0,0,,0,0,,0,0
img13,20,10,0.5,,9,4,,11,6,,0,0,,0,0,,0,0,,0,0
img14,17,11,0.647058824,,14,9,,3,2,,0,0,,0,0,,0,0,,0,0
img15,26,23,0.884615385,,5,4,,15,13,,6,6,,0,0,,0,0,,0,0
img16,27,21,0.777777778,,11,8,,16,13,,0,0,,0,0,,0,0,,0,0
img17,14,14,1,,4,4,,10,10,,0,0,,0,0,,0,0,,0,0
img18,8,8,1,,0,0,,2,2,,3,3,,3,3,,0,0,,0,0
img19,6,6,1,,0,0,,2,2,,2,2,,2,2,,0,0,,0,0
img20,6,6,1,,0,0,,2,2,,2,2,,2,2,,0,0,,0,0
img21,9,9,1,,0,0,,5,5,,2,2,,2,2,,0,0,,0,0
img22,11,11,1,,0,0,,6,6,,2,2,,3,3,,0,0,,0,0
img23,19,19,1,,0,0,,13,13,,2,2,,4,4,,0,0,,0,0
img24,20,20,1,,0,0,,5,5,,7,7,,8,8,,0,0,,0,0
img25,18,18,1,,0,0,,6,6,,6,6,,6,6,,0,0,,0,0
img26,36,34,0.944444444,,9,9,,17,15,,9,9,,0,0,,1,1,,0,0
img27,17,17,1,,5,5,,12,12,,0,0,,0,0,,0,0,,0,0
img28,10,4,0.4,,4,0,,6,4,,0,0,,0,0,,0,0,,0,0
img29,5,5,1,,3,3,,2,2,,0,0,,0,0,,0,0,,0,0
img30,11,11,1,,5,5,,6,6,,0,0,,0,0,,0,0,,0,0
img31,9,9,1,,4,4,,5,5,,0,0,,0,0,,0,0,,0,0
img32,14,14,1,,7,7,,7,7,,0,0,,0,0,,0,0,,0,0
img33,8,1,0.125,,4,4,,0,0,,0,0,,0,0,,4,1,,0,0
img34,38,23,0.605263158,,24,13,,6,5,,0,0,,0,0,,8,5,,0,0
img35,36,36,1,,13,13,,23,23,,0,0,,0,0,,0,0,,0,0
img36,6,5,0.833333333,,0,0,,6,5,,0,0,,0,0,,0,0,,0,0
img37,21,21,1,,4,4,,17,17,,0,0,,0,0,,0,0,,0,0
img38,8,6,0.75,,8,6,,0,0,,0,0,,0,0,,0,0,,0,0
img39,15,14,0.933333333,,15,14,,0,0,,0,0,,0,0,,0,0,,0,0
img40,29,29,1,,11,11,,18,18,,0,0,,0,0,,0,0,,0,0
img41,5,4,0.8,,2,1,,3,3,,0,0,,0,0,,0,0,,0,0
img42,143,91,0.636363636,,123,76,,16,12,,4,2,,0,0,,0,0,,0,0
img43,52,44,0.846153846,,8,7,,44,37,,0,0,,0,0,,0,0,,0,0
img44,18,18,1,,8,8,,10,10,,0,0,,0,0,,0,0,,0,0
img45,59,51,0.86440678,,41,36,,18,15,,0,0,,0,0,,0,0,,0,0
img46,10,10,1,,7,7,,3,3,,0,0,,0,0,,0,0,,0,0
img47,35,25,0.714285714,,21,17,,14,8,,0,0,,0,0,,0,0,,0,0
img48,63,57,0.904761905,,33,28,,30,29,,0,0,,0,0,,0,0,,0,0
img49,4,4,1,,2,2,,2,2,,0,0,,0,0,,0,0,,0,0
img50,23,18,0.782608696,,14,11,,9,7,,0,0,,0,0,,0,0,,0,0
img51,11,11,1,,3,3,,8,8,,0,0,,0,0,,0,0,,0,0
img52,16,16,1,,6,6,,10,10,,0,0,,0,0,,0,0,,0,0
img53,19,19,1,,8,8,,11,11,,0,0,,0,0,,0,0,,0,0
img54,17,12,0.705882353,,12,8,,5,4,,0,0,,0,0,,0,0,,0,0
img55,17,5,0.294117647,,1,0,,16,5,,0,0,,0,0,,0,0,,0,0
img56,19,19,1,,15,15,,4,4,,0,0,,0,0,,0,0,,0,0
img57,14,13,0.928571429,,10,9,,4,4,,0,0,,0,0,,0,0,,0,0
img58,11,11,1,,8,8,,3,3,,0,0,,0,0,,0,0,,0,0
img59,30,29,0.966666667,,24,23,,6,6,,0,0,,0,0,,0,0,,0,0
img60,32,30,0.9375,,24,23,,8,7,,0,0,,0,0,,0,0,,0,0
img61,21,16,0.761904762,,18,13,,3,3,,0,0,,0,0,,0,0,,0,0
img62,11,11,1,,5,5,,6,6,,0,0,,0,0,,0,0,,0,0
img63,15,6,0.4,,5,2,,10,4,,0,0,,0,0,,0,0,,0,0
img64,11,11,1,,8,8,,3,3,,0,0,,0,0,,0,0,,0,0
img65,21,21,1,,12,12,,9,9,,0,0,,0,0,,0,0,,0,0
img66,6,6,1,,3,3,,3,3,,0,0,,0,0,,0,0,,0,0
img67,43,39,0.906976744,,22,19,,21,20,,0,0,,0,0,,0,0,,0,0
img68,27,19,0.703703704,,6,4,,15,9,,6,6,,0,0,,0,0,,0,0
img69,48,46,0.958333333,,34,33,,14,13,,0,0,,0,0,,0,0,,0,0
img70,19,17,0.894736842,,5,4,,7,6,,5,5,,0,0,,0,0,,2,2
img71,20,19,0.95,,4,4,,8,8,,4,4,,0,0,,0,0,,4,3
,,,,,,,,,,,,,,,,,,,,,
Total,1645,1392,61.06143114,,807,663,,728,630,,61,59,,30,30,,13,7,,6,5
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Avg  Recognition rate,,0.846200608,84.62%,,,82.16%,,,86.54%,,,96.72%,,,100%,,,53.85%,,,83.33%
